#{"t_start": 1631273319.9714222, "env_id": null}
r,l,t
-9.761905,11,424.659878
1.285714,13,424.722413
-0.595238,18,424.941113
-0.880952,6,424.956696
1.238095,11,425.003597
-0.785714,10,425.05046
-9.738095,12,425.097288
1.309524,14,425.144189
-0.904762,5,425.159773
1.214286,10,425.206674
1.309524,14,425.254751
1.214286,10,425.285998
1.119048,6,425.317275
1.166667,8,425.348522
-0.761905,11,425.395381
1.214286,10,425.426624
-0.785714,10,425.473488
-9.690476,14,425.520314
1.261905,12,425.567214
1.214286,10,425.614083
1.166667,8,425.645284
-0.738095,12,425.692186
-0.809524,9,425.739051
-0.809524,9,425.770255
-0.904762,5,425.785876
-0.880952,6,425.817156
1.261905,12,425.864023
-0.690476,14,426.126711
1.119048,6,426.155598
-0.833333,8,426.191567
-0.761905,11,426.244426
1.119048,6,426.274344
-0.809524,9,426.320189
1.309524,14,426.391994
1.190476,9,426.439869
-0.880952,6,426.472779
1.309524,14,426.531584
1.119048,6,426.562825
-9.857143,7,426.578447
1.071429,4,426.59407
1.238095,11,426.640934
-0.857143,7,426.687798
-0.714286,13,426.734662
1.119048,6,426.771446
-0.809524,9,426.809346
1.238095,11,426.857217
-0.833333,8,426.896149
-0.738095,12,426.95499
1.238095,11,427.008813
-0.880952,6,427.046712
1.238095,11,427.103751
1.238095,11,427.157269
1.119048,6,427.185144
-0.880952,6,427.216057
1.142857,7,427.252958
-0.904762,5,427.277892
-9.761905,11,427.50578
-0.833333,8,427.543713
1.238095,11,427.596736
-9.738095,12,427.646454
1.261905,12,427.696321
1.261905,12,427.747931
-0.761905,11,427.800759
1.071429,4,427.821697
1.190476,9,427.861624
1.238095,11,427.908582
1.261905,12,427.960509
1.285714,13,428.013741
1.309524,14,428.063558
-9.785714,10,428.112711
-0.690476,14,428.18751
-0.833333,8,428.227404
-0.809524,9,428.273701
-9.785714,10,428.318386
1.214286,10,428.36127
-0.738095,12,428.419474
1.214286,10,428.46273
1.214286,10,428.509364
-0.785714,10,428.556375
1.166667,8,428.590972
1.261905,12,428.640769
1.285714,13,428.98838
-9.761905,11,429.064182
-0.833333,8,429.129004
-0.714286,13,429.212781
-0.761905,11,429.286582
-9.714286,13,429.367476
-9.785714,10,429.41923
-0.857143,7,429.456129
1.166667,8,429.496024
-9.714286,13,429.570294
1.190476,9,429.617167
1.166667,8,429.662047
1.261905,12,429.801674
-0.761905,11,429.879682
-0.666667,15,429.994374
-9.761905,11,430.049229
-0.809524,9,430.100093
-0.666667,15,430.181873
1.166667,8,430.218138
-0.857143,7,430.254034
-9.690476,14,430.320855
-9.714286,13,430.377703
-9.619048,17,430.449511
1.238095,11,430.658505
1.285714,13,430.70537
-0.785714,10,430.759423
1.190476,9,430.79433
1.119048,6,430.819263
1.071429,4,430.838139
-0.690476,14,430.898597
-9.809524,9,430.935617
1.285714,13,430.985595
-9.785714,10,431.01841
1.285714,13,431.064478
-9.785714,10,431.111343
-0.690476,14,431.158206
-0.690476,14,431.221938
1.166667,8,431.253249
-0.738095,12,431.301974
-0.880952,6,431.317596
1.261905,12,431.38008
1.261905,12,431.426944
-0.880952,6,431.442565
-9.690476,14,431.515671
-0.738095,12,431.569745
1.119048,6,431.60166
-9.690476,14,431.665786
1.238095,11,431.906767
-0.809524,9,431.951612
-0.928571,4,431.979539
-0.738095,12,432.032449
-0.785714,10,432.067477
-0.738095,12,432.115186
-0.880952,6,432.15432
1.285714,13,432.211286
1.166667,8,432.252352
1.261905,12,432.308188
-9.690476,14,432.366033
-9.809524,9,432.404962
1.261905,12,432.457786
1.071429,4,432.478995
-0.761905,11,432.532387
1.190476,9,432.572282
-0.833333,8,432.611929
-0.595238,18,432.693662
-0.761905,11,432.745052
1.238095,11,432.794286
1.166667,8,432.830193
-9.690476,14,432.891992
1.166667,8,432.929923
1.190476,9,432.973773
1.095238,5,432.998753
-0.809524,9,433.042589
1.261905,12,433.305107
1.142857,7,433.334316
1.166667,8,433.373057
1.214286,10,433.419898
1.238095,11,433.476747
1.357143,16,433.565511
1.285714,13,433.635324
1.309524,14,433.704261
1.142857,7,433.744153
-9.714286,13,433.800076
1.190476,9,433.846668
1.214286,10,433.896534
-0.785714,10,433.943883
1.190476,9,433.985986
1.166667,8,434.020232
1.142857,7,434.050077
-0.738095,12,434.10127
1.261905,12,434.149163
1.357143,16,434.215725
-0.690476,14,434.282514
-9.761905,11,434.330386
1.238095,11,434.378258
1.142857,7,434.407166
-0.738095,12,434.453454
-0.714286,13,434.673181
-9.785714,10,434.703044
-0.857143,7,434.734286
-0.690476,14,434.796772
1.166667,8,434.832538
-0.785714,10,434.877685
-0.761905,11,434.933234
1.285714,13,434.997715
1.190476,9,435.056071
-0.833333,8,435.150413
-0.809524,9,435.250598
-0.857143,7,435.295811
1.190476,9,435.348765
-9.642857,16,435.42752
-0.785714,10,435.481416
1.238095,11,435.535235
1.214286,10,435.590086
1.095238,5,435.616016
1.214286,10,435.68184
1.190476,9,435.774593
1.071429,4,435.812491
-0.904762,5,435.836869
1.238095,11,435.925722
1.261905,12,436.00052
1.190476,9,436.048221
-9.785714,10,436.099086
-9.690476,14,436.36735
-9.738095,12,436.414641
-0.857143,7,436.446848
-0.857143,7,436.469477
-9.738095,12,436.516341
-9.833333,8,436.547584
-0.785714,10,436.594484
1.166667,8,436.625734
-9.666667,15,436.688212
1.261905,12,436.735077
1.095238,5,436.750662
1.166667,8,436.781942
-0.738095,12,436.828806
1.261905,12,436.875631
-0.714286,13,436.922537
-9.761905,11,436.969398
-0.761905,11,437.016263
1.357143,16,437.094338
-0.690476,14,437.159941
-0.738095,12,437.22178
1.285714,13,437.280619
1.119048,6,437.310538
-0.880952,6,437.339355
1.190476,9,437.385226
-0.666667,15,437.641531
-0.833333,8,437.681424
-0.809524,9,437.726679
-0.833333,8,437.766796
-9.785714,10,437.814708
-0.761905,11,437.868523
1.285714,13,438.015485
-0.809524,9,438.061361
1.238095,11,438.115217
1.261905,12,438.169083
-0.833333,8,438.20694
-9.738095,12,438.253659
1.071429,4,438.269292
1.119048,6,438.284913
1.333333,15,438.35134
-0.761905,11,438.39824
1.119048,6,438.413862
1.309524,14,438.476347
-0.833333,8,438.5243
1.119048,6,438.55226
1.261905,12,438.60229
-0.714286,13,438.66008
1.190476,9,438.698977
-9.738095,12,438.748846
-0.809524,9,438.792726
-0.642857,16,439.058768
1.142857,7,439.092673
1.333333,15,439.159497
1.261905,12,439.213317
-9.619048,17,439.289117
-0.714286,13,439.348954
1.190476,9,439.393834
1.119048,6,439.421744
-0.880952,6,439.451714
-0.714286,13,439.510926
-9.809524,9,439.547264
