,date,reference,paymentDelay,createdAt,identifier,paymentMethod,paye,client,numeroCheque,ID_Produits,id,status
0,2020-10-16T22:00:00Z,1000386,2021-08-08T00:17:08.027Z,2020-10-16T12:25:49.649Z,1136765748000,check,True,190250,,"{38550: 24, 38450: 24, 38300: 12, 38500: 12, 38650: 12, 38600: 12, 38350: 12}",1035650,True
0,2021-02-15T23:00:00Z,1100044,2021-08-08T00:17:08.329Z,2021-02-16T10:31:30.361Z,1906049851000,check,True,189100,125478,"{38350: 12, 38600: 12}",1035650,True
0,2019-06-16T19:49:31.068Z,1000081,2021-08-08T00:17:08.693Z,2019-06-16T19:49:31.068Z,2051498009000,check,True,189900,,{38300: 96},1035650,True
0,2019-12-22T12:07:36.068Z,1000200,2021-08-08T00:17:09.075Z,2019-12-22T12:07:36.068Z,-2141516200000,check,True,189400,,"{38550: 1200, 38500: 48}",1035650,True
0,2020-10-26T23:00:00Z,1000397,2020-10-26T23:00:00Z,2020-10-27T18:08:55.563Z,-507025215000,traite,True,189300,,"{38650: 48, 38600: 48, 38550: 144, 38450: 96, 38400: 240, 38500: 48}",1035650,True
0,2019-06-19T15:45:46.068Z,1000083,2021-08-08T00:17:09.675Z,2019-06-19T15:45:46.068Z,-1439606230000,check,True,189100,,"{38400: 24, 38600: 12, 38550: 24, 38300: 12}",1035650,True
0,2020-10-16T22:00:00Z,1000389,2020-10-21T22:00:00Z,2020-10-16T14:03:35.239Z,1874051227000,traite,True,188900,,"{38450: 24, 38350: 12, 38500: 12, 38400: 24, 38600: 12, 38300: 12, 38550: 24}",1035650,True
0,2019-12-16T13:34:48.068Z,1000198,2021-08-08T00:17:10.590Z,2019-12-16T13:34:48.068Z,1212423499000,check,True,189300,,"{38350: 96, 38300: 96, 38600: 96, 38500: 48, 38400: 144}",1035650,True
0,2019-05-10T14:39:59.068Z,1000071,2021-08-08T00:17:10.897Z,2019-05-10T14:39:59.068Z,-578743978000,check,True,190200,,{},1035650,True
0,2019-04-16T18:22:33.068Z,1000059,2021-08-08T00:17:11.208Z,2019-04-16T18:22:33.068Z,911215721000,check,True,188350,,{38400: 24},1035650,True
0,2020-08-12T22:00:00Z,1000335,2021-08-08T00:17:11.507Z,2020-09-11T12:00:31.573Z,-620794243000,check,True,190200,,"{38600: 90, 38300: 96}",1035650,True
0,2019-08-27T08:22:03.068Z,1000119,2021-08-08T00:17:11.807Z,2019-08-27T08:22:03.068Z,-1535649423000,check,True,189450,,"{38400: 24, 38300: 12}",1035650,True
0,2020-10-26T23:00:00Z,1000396,2020-10-26T23:00:00Z,2020-10-26T13:44:36.308Z,-1102593760000,traite,True,190350,,"{38650: 48, 38450: 48, 38600: 48, 38550: 96, 38400: 96}",1035650,True
0,2019-03-05T16:46:09.068Z,1000039,2021-08-08T00:17:12.409Z,2019-03-05T16:46:12.068Z,225720125000,check,True,189000,,"{38400: 24, 38600: 24, 38350: 24}",1035650,True
0,2020-01-31T13:26:10.068Z,1000226,2021-08-08T00:17:12.710Z,2020-01-31T13:26:27.068Z,-728789840000,check,True,189700,,"{38300: 24, 38400: 144, 38500: 24}",1035650,True
